original_word,final_word,pair_count,final_total
dk,dk,2,2
ngira,ngira,2,2
kka,kka,2,2
ingn,ingn,2,2
is,is,2,2
ai,ai,2,2
lur,lur,2,2
nant,nant,2,2
ipa,ipa,2,2
hany,hany,1,1
or,or,1,1
ip,ip,1,1
03,03,1,1
lun,lun,1,1
bagaima,bagaima,1,1
05,05,1,1
njuk,njuk,1,1
dijawa,dijawa,1,1
beberap,beberap,1,1
seger,seger,1,1
bersam,bersam,1,1
rumah saya,rumah saya,1,1
get,get,1,1
ntuk,ntuk,1,1
dengan dia,dengan dia,1,1
kihat,kihat,1,1
mb,mb,1,1
jug,jug,1,1
cum,cum,1,1
aya,aya,1,1
ditu,ditu,1,1
bapak kamu,bapak ka,1,1
jan,jan,1,1
bisany,bisany,1,1
ee,ee,1,1
engap,engap,1,1
mis,mis,1,1
lamaa,lamaa,1,1
awaln,awaln,1,1
sayal,sayal,1,1
pk,pk,1,1
diikit,diikit,1,1
nj,nj,1,1
rm,rm,1,1
ru,ru,1,1
bilak,bilak,1,1
janga,janga,1,1
ntu,ntu,1,1
ernyata,ernyata,1,1
ur,ur,1,1
nn,nn,1,1
bole,bole,1,1
ikutn,ikutn,1,1
eneg,eneg,1,1
orang tua kamu,orang tua ka,1,1
ar,ar,1,1
carany,carany,1,1
ra,ra,1,1
salahny,salahny,1,1
adany,adany,1,1
aw,aw,1,1
piutang dia,piutang dia,1,1
au,au,1,1
tanyak,tanyak,1,1
laki saya,laki saya,1,1
bny,bny,1,1
iki,iki,1,1
itam,itam,1,1
adahal,adahal,1,1
hi,hi,1,1
gh,gh,1,1
ema,ema,1,1
samp,samp,1,1
un,un,1,1
cil,cil,1,1
bai,bai,1,1
awalny,awalny,1,1
li,li,1,1
tida,tida,1,1
tidakk,tidakk,1,1
lk,lk,1,1
denga,denga,1,1
handphone kamu,handphone ka,1,1
kakak saya,kakak saya,1,1
nk,nk,1,1
lan,lan,1,1
past,past,1,1
nyampaikan,nyampaikan,1,1
abi,abi,1,1
member,member,1,1
mpe,mpe,1,1
apap,apap,1,1
biasany,biasany,1,1
bukanny,bukanny,1,1
angny,angny,1,1
piutang saya,piutang saya,1,1
cu,cu,1,1
kemudia,kemudia,1,1
